Location,Total_Land_Area_acres,Number_of_Cows,Farm_Size,Date,Product_ID,Product_Name,Brand,Quantity_liters&kg,Price_per_Unit,Total_Value,Shelf_Life_days,Storage_Condition,Production_Date,Expiration_Date,Quantity_Sold_liters&kg,Price_per_Unit_sold,Approx_Total Revenue_INR,Customer_Location,Sales_Channel,Quantity_in_Stock_liters&kg,Minimum_Stock_Threshold_liters&kg,Reorder_Quantity_liters&kg,Stock_check,Deliver_expire_product
Gujarat,538.58,76,Large,6/2/2019,2,Butter,,509.7,50.87,25928.44,30,Refridgerated,5/22/2019,6/21/2019,74,48.99,3625.26,Jharkhand,Wholesale,435,41.44,92.42,SAFE,YES
Chandigarh,337.7,47,Large,8/10/2021,9,Paneer,Amul,884.96,58.57,51832.11,11,Refrigerated,6/22/2021,7/3/2021,728,59.05,42988.4,Gujarat,Retail,156,56.4,185.61,SAFE,NO
Telangana,889.47,45,Small,12/26/2020,8,Buttermilk,Mother Dairy,271.56,1880.6004936559025,24426.82,13,Refrigerated,12/18/2020,12/31/2020,73,94.26,6880.98,Delhi,Wholesale,198,53.71,190.92,SAFE,YES
Chandigarh,738.43,69,Small,11/7/2019,2,Butter,Amul ,818.21,72.36,59205.68,29,Refrigerated,04/10/2019,11/2/2019,299,67.78,20266.22,Haryana,Online,519,33.37,154.27,SAFE,NO
Uttar Pradesh,613.54,47,Small,5/2/2019,9,Paneer,Amul,549.06,55.63,30544.21,13,Refrigerated,2019/04/05,4/18/2019,502,52.04,26124.08,Bihar,Wholesale,47,12.31,41.76,SAFE,NO
Madhya Pradesh,553.21,68,Small,10/15/2019,2,Butter,Warana,913.81,96.21,87917.66,33,Frozen,8/27/2019,9/29/2019,244,98.05,23924.2,Bihar,Wholesale,669,32.93,170.94,SAFE,NO
West Bengal,835.48,29,Medium,6/10/2019,6,Curd,,836.96,14.98,12537.66,5,Refrigerated,4/18/2019,4/23/2019,80,17.36,1388.8,Maharashtra,Wholesale,756,17.28,124.65,SAFE,NO
Rajasthan,246.06,54,Medium,12/18/2020,3,Cheese,Dynamix Dairies,811.97,12.22,9922.27,46,Refrigerated,11/9/2020,12/25/2020,388,12.22,4741.36,Chandigarh,Retail,423,89.94,166.38,SAFE,YES
Uttar Pradesh,393.92,38,Medium,11/26/2021,1,Milk,Sudha,502.46,62.03,31167.59,2,Polythene Packet,11/15/2021,2021/11/17,251,64.34,16149.34,Jharkhand,Wholesale,251,72.61,32.41,SAFE,NO
Gujarat,952.67,63,Large,4/16/2020,1,Milk,Mother Dairy,908.35,11.04,10028.18,29,Tetra Pack,2/22/2020,3/22/2020,199,14.65,2915.35,Delhi,Wholesale,709,82.72,149.14,SAFE,NO
Madhya Pradesh,681.32,15,Small,2/6/2022,7,Lassi,Raj,628.72,74.3,46713.9,13,Refrigerated,2022/01/26,2/8/2022,302,74.6,22529.2,Uttar Pradesh,Online,326,97.54,192.15,SAFE,YES
Madhya Pradesh,947.33,82,Large,2/7/2020,5,Ice Cream,Amul,673.22,21.87,14723.32,30,Frozen,1/22/2020,2/21/2020,325,23.67,7692.75,Delhi,Online,348,18.96,148.94,SAFE,YES
Gujarat,403.47,86,Medium,5/20/2022,1,Milk,Sudha,96.73,93.41,9035.55,1,Polythene Packet,5/17/2022,5/18/2022,41,97.36,3991.76,Rajasthan,Retail,55,59.83,84.9,IN DANGER,NO
Bihar,911.08,14,Medium,12/10/2022,4,Yogurt,Mother Dairy,312.43,46.94,14665.46,24,Refrigerated,12/3/2022,12/27/2022,5,45.87,229.35,Uttar Pradesh,Online,307,92.79,82.66,SAFE,YES
Tamil Nadu,345.39,61,Large,3/20/2019,3,Cheese,Dynamix Dairies,395.11,14.21,5614.51,89,Frozen,2/15/2019,2019/05/15,322,10.72,3451.84,Uttar Pradesh,Wholesale,73,86.59,98.34,IN DANGER,YES
Karnataka,620.6,62,Large,9/3/2021,10,Ghee,Sudha,109.52,13.6,1489.47,116,Ambient,8/16/2021,12/10/2021,42,8.84,371.28,Madhya Pradesh,Online,67,20.7,42.63,SAFE,YES
Madhya Pradesh,882.8,52,Medium,3/11/2021,10,Ghee,Amul,706.76,28.84,20382.96,118,Ambient,2/21/2021,6/19/2021,310,28.51,8838.1,Chandigarh,Retail,396,76.64,77.17,SAFE,YES
Maharashtra,285.44,18,Medium,10/25/2020,5,Ice Cream,Mother Dairy,907.45,46.82,42486.81,25,Frozen,8/27/2020,9/21/2020,552,51.13,28223.76,Telangana,Retail,355,29.32,53.63,SAFE,NO
Delhi,454.56,74,Small,4/8/2022,2,Butter,Warana,476.45,53.37,25428.14,28,Refrigerated,2022/02/21,3/21/2022,302,54.16,16356.32,Kerala,Online,174,63.86,106.19,SAFE,NO
  Tamil Nadu  ,786.45,18,Small,4/21/2021,7,Lassi,MOTHER DAIRY,921.67,91.29,84139.25,14,REFRIGERATED,3/24/2021,4/7/2021,274,91.69,25123.06,Chandigarh,Retail,647,15.88,177.76,SAFE,NO
Kerala,529.98,62,Large,8/17/2020,5,Ice Cream,Palle2patnam,250.94,44.67,11209.49,22,Frozen,7/22/2020,8/13/2020,144,43.76,6301.44,Chandigarh,Wholesale,106,61.28,133.07,SAFE,NO
Chandigarh,284.91,13,Large,6/17/2020,8,Buttermilk,Amul,181.24,92.26,16721.2,11,Refrigerated,5/10/2020,"May 21, 2020",90,95.74,8616.6,Delhi,Retail,91,63.87,31.72,SAFE,NO
Tamil Nadu,939.4,26,Large,10/5/2022,9,Paneer,Raj,939.68,42.34,39786.05,11,Refrigerated,10/2/2022,10/13/2022,777,44.26,34390.02,Karnataka,Wholesale,162,86.68,63.48,SAFE,YES
Telangana,240.29,28,Small,9/21/2021,7,Lassi,Sudha,162.9,31.17,5077.59,15,Refrigerated,7/31/2021,8/15/2021,92,28.74,2644.08,Kerala,Online,70,51.82,25.01,SAFE,NO
Jharkhand,992.95,84,Small,12/9/2021,8,Buttermilk,,661.21,16.94,11200.9,7,Refridgerated,12/6/2021,12/13/2021,115,14.06,1616.9,Maharashtra,Wholesale,546,28.33,170.9,SAFE,YES
Rajasthan,801.41,66,Large,10/11/2022,5,Ice Cream,Amul,239.74,14.71,3526.58,25,Frozen,9/13/2022,10/8/2022,106,17.21,1824.26,Chandigarh,Online,133,32.6,24.4,SAFE,NO
Uttar Pradesh,953.33,33,Medium,1/17/2021,6,Curd,amul,1.58,46.39,73.3,6,Refrigerated,11/27/2020,12/3/2020,1,48.12,48.12,Karnataka,Retail,0,85.53,173.2,IN DANGER,NO
Kerala,663.52,35,Large,12/16/2022,8,Buttermilk,Raj,718.71,94.86,68176.83,12,Refrigerated,11/10/2022,"November 22, 2022",131,90.14,11808.34,West Bengal,Retail,587,47.86,98.88,SAFE,NO
Tamil Nadu,779.67,37,Large,1/26/2019,1,Milk,Mother Dairy,864.53,55.28,47791.22,2,Polythene Packet,1/21/2019,1/23/2019,611,58.33,35639.63,Maharashtra,Online,253,64.99,34.11,SAFE,NO
Rajasthan,268.91,90,Medium,3/24/2020,5,Ice Cream,Palle2patnam,170.53,46.3,7895.54,29,Frozen,3/21/2020,4/19/2020,96,50.75,4872.0,Jharkhand,Retail,74,86.5,21.95,IN DANGER,YES
Telangana,442.84,54,Small,11/18/2019,10,Ghee,Sudha,437.14,44.8,19583.87,138,Ambient,10/10/2019,25-02-2020,49,46.58,2282.42,West Bengal,Retail,388,60.56,50.46,SAFE,YES
Maharashtra,123.11,94,Small,12/25/2020,4,Yogurt,Mother Dairy,580.88,78.16,45401.58,21,refrigerated,"November 23, 2020",12/14/2020,190,76.33,14502.7,Bihar,Wholesale,390,87.82,194.6,SAFE,NO
Bihar,219.74,25,Large,12/1/2022,8,Buttermilk,Amul,478.35,89.4,42764.49,10,Refridgerated,10/27/2022,11/6/2022,52,86.44,4494.88,Madhya Pradesh,Wholesale,426,15.36,86.12,SAFE,NO
  Telangana  ,228.08,71,Small,5/10/2019,10,Ghee,Mother Dairy,697.01,87.06,60681.69,149,Ambient,5/8/2019,10/4/2019,312,87.34,27250.08,Tamil Nadu,Retail,385,95.46,32.82,SAFE,YES
Maharashtra,221.51,21,Medium,5/5/2019,10,Ghee,Sudha,768.5,16.24,12480.44,70,Ambient,3/27/2019,2019/06/05,652,12.22,7967.44,Bihar,Wholesale,116,22.65,169.41,SAFE,YES
Chandigarh,777.72,61,Medium,1/17/2022,5,Ice Cream,Dodla Dairy,609.29,55.09,33565.79,23,Frozen,1/8/2022,1/31/2022,578,57.88,33454.64,Gujarat,Online,31,56.6,143.0,IN DANGER,YES
Haryana,896.34,50,Medium,7/20/2019,6,Curd,Raj,82.1,78.91,6478.51,5,Refrigerated,"July 07, 2019","July 12, 2019",68,74.7,5079.6,Telangana,Retail,14,11.32,172.14,SAFE,NO
Karnataka,426.68,65,Small,11/10/2020,3,Cheese,Amul,879.54,92.99,81788.42,34,Frozen,10/6/2020,11/9/2020,101,88.75,8963.75,Kerala,Wholesale,778,25.39,129.6,SAFE,NO
Telangana,286.42,56,Medium,1/23/2022,8,Buttermilk,Raj,337.03,,31842.59,11,Refrigerated,"January 09, 2022",2022/01/20,247,95.21,23516.87,Delhi,Online,90,68.02,66.26,SAFE,NO
Chandigarh,414.48,69,Small,9/2/2020,3,Cheese,Dynamix Dairies,235.09,87.57,20586.83,26,Frozen,8/13/2020,9/8/2020,116,87.86,10191.76,Kerala,Online,119,58.64,103.93,SAFE,YES
Delhi,229.21,54,Small,11/10/2020,6,Curd,Mother Dairy,200.02,62.76,12553.26,6,Refrigerated,9/19/2020,9/25/2020,198,61.84,12244.32,Tamil Nadu,Retail,2,46.37,65.84,IN DANGER,NO
Telangana,299.75,82,Large,10/16/2020,8,Buttermilk,Amul,803.57,51.08,41046.36,12,Refrigerated,03-09-2020,15/09/2020,205,51.67,10592.35,Karnataka,Wholesale,598,79.57,20.04,SAFE,NO
Gujarat,262.38,93,Small,7/2/2021,9,Paneer,mother dairy,377.18,17.08,6442.23,13,Refrigerated,6/29/2021,7/12/2021,41,21.89,897.49,Haryana,Wholesale,336,72.82,25.6,SAFE,YES
West Bengal,134.28,43,Large,3/1/2019,9,Paneer,Raj,740.8,53.67,39758.74,8,Refridgerated,1/27/2019,2/4/2019,619,50.19,31067.61,Maharashtra,Retail,121,92.14,175.28,SAFE,NO
Tamil Nadu,821.24,23,Large,9/27/2019,6,Curd,Mother Dairy,678.68,58.51,39709.57,5,,9/2/2019,9/7/2019,139,60.62,8426.18,Chandigarh,Wholesale,539,55.24,179.61,SAFE,NO
Gujarat,589.9,18,Medium,4/16/2019,10,Ghee,Mother Dairy,959.51,24.14,23162.57,139,Ambient,3/27/2019,8/13/2019,176,27.26,4797.76,Bihar,Wholesale,783,77.48,28.11,SAFE,YES
Chandigarh,909.94,56,Small,4/6/2022,6,Curd,Amul,999.16,69.22,69161.86,5,Refrigerated,3/14/2022,3/19/2022,756,64.33,48633.48,Tamil Nadu,Retail,243,67.64,70.05,SAFE,NO
Madhya Pradesh,186.24,46,Small,10/6/2019,8,Buttermilk,Sudha ,941.86,36.5,34377.89,7,Refrigerated,9/1/2019,9/8/2019,146,41.46,6053.16,Telangana,Wholesale,795,42.72,94.55,SAFE,NO
Karnataka,970.72,25,Medium,1/1/2021,7,Lassi,Amul,30.51,,666.95,17,Refrigerated,12/15/2020,"January 01, 2021",15,17.19,257.85,Haryana,Retail,15,30.86,191.85,IN DANGER,YES
Gujarat,864.93,40,Medium,7/26/2019,4,Yogurt,Amul,301.07,16.11,4850.24,26,Frozen,6/8/2019,7/4/2019,226,18.92,4275.92,Chandigarh,Wholesale,75,13.22,136.19,SAFE,NO
Maharashtra,238.36,93,Medium,6/6/2020,8,Buttermilk,Raj,791.47,59.12,46791.71,14,Refrigerated,4/9/2020,4/23/2020,111,63.44,7041.84,Chandigarh,Wholesale,680,87.33,73.75,SAFE,NO
Kerala,109.94,26,Small,2/13/2021,3,Cheese,Amul,3.23,29.0,93.67,84,refrigerated,2/5/2021,4/30/2021,1,27.58,27.58,Delhi,Wholesale,2,83.75,101.68,IN DANGER,YES
Telangana,623.93,74,Large,2/27/2019,7,Lassi,Raj,885.52,57.83,51209.62,14,Refrigerated,1/30/2019,2/13/2019,766,54.52,41762.32,Telangana,Retail,119,43.11,184.39,SAFE,NO
Delhi,809.45,34,Large,1/23/2021,6,Curd,Sudha,330.91,78.3,25910.25,5,Refrigerated,1/3/2021,2021/01/08,160,77.07,12331.2,Uttar Pradesh,Retail,170,89.61,44.21,SAFE,NO
Bihar,161.43,82,Large,10/26/2021,4,Yogurt,mother dairy,394.31,64.5,25433.0,22,Refrigerated,9/5/2021,27/09/2021,159,62.58,9950.22,Bihar,Wholesale,235,77.47,188.03,SAFE,NO
Madhya Pradesh,827.61,94,Small,5/9/2022,3,Cheese,Britannia Industries,608.88,54.68,33293.56,72,Refrigerated,3/18/2022,"May 29, 2022",531,52.27,27755.37,Delhi,Wholesale,77,78.67,181.35,IN DANGER,YES
Jharkhand,234.73,98,Large,9/26/2020,4,Yogurt,Dodla Dairy,443.55,97.56,43272.74,22,Refrigerated,8/2/2020,8/24/2020,223,99.25,22132.75,Kerala,Wholesale,220,23.21,35.16,SAFE,NO
  Jharkhand  ,765.34,94,Large,9/18/2022,7,Lassi,Amul,198.63,12.12,2407.4,17,Refrigerated,8/6/2022,8/23/2022,55,8.79,483.45,Delhi,Wholesale,143,19.8,173.6,SAFE,NO
Delhi,835.74,97,Large,4/22/2019,2,Butter,Warana,952.72,81.84,77970.6,39,Frozen,4/21/2019,2019/05/30,786,84.13,66126.18,Jharkhand,Wholesale,166,48.97,182.15,SAFE,YES
  Gujarat  ,144.64,67,Medium,9/22/2022,6,Curd,Sudha ,434.19,73.96,32112.69,7,Refrigerated,2022/08/04,8/11/2022,163,78.69,12826.47,Gujarat,Retail,271,26.92,116.72,SAFE,NO
Uttar Pradesh,874.36,44,Large,8/28/2019,3,Cheese,Amul,275.61,63.99,17636.28,66,Refrigerated,16/07/2019,9/20/2019,210,63.07,13244.7,Gujarat,Wholesale,65,84.5,105.58,IN DANGER,YES
Chandigarh,890.62,95,Medium,2/22/2022,2,Butter,Parag Milk Foods,12.5,92.08,1151.0,27,Refrigerated,1/13/2022,2/9/2022,10,92.69,926.9,Chandigarh,Online,2,81.74,69.29,IN DANGER,NO
Haryana,396.02,90,Small,2/27/2020,7,Lassi,Sudha,979.36,,62238.33,16,Refrigerated,2/14/2020,"March 01, 2020",282,59.29,16719.78,Telangana,Retail,697,16.67,151.22,SAFE,YES
Kerala,957.18,36,Small,7/1/2020,5,Ice Cream,Dodla Dairy,322.41,1351.0217220683094,20834.13,30,Frozen,5/17/2020,6/16/2020,14,61.98,867.72,Rajasthan,Wholesale,308,92.48,149.61,SAFE,NO
Chandigarh,865.66,100,Medium,5/12/2019,6,Curd,Amul,63.26,807.8532859907068,2444.37,5,Refrigerated,5/7/2019,5/12/2019,3,43.26,129.78,Telangana,Retail,60,37.78,20.38,SAFE,YES
Kerala,711.08,42,Large,10/13/2019,2,Butter,Mother Dairy,750.75,87.9,65990.93,40,Frozen,8/24/2019,10/3/2019,331,87.74,29041.94,Jharkhand,Retail,419,84.92,124.7,SAFE,NO
Bihar,22.83,72,Small,12/5/2022,6,Curd,,991.29,39.3,38957.7,5,Refrigerated,2022/11/10,11/15/2022,464,35.48,16462.72,Gujarat,Wholesale,527,15.79,78.58,SAFE,NO
Telangana,19.53,94,Small,8/4/2021,8,Buttermilk,MOTHER DAIRY,920.46,60.35,55549.76,10,Refrigerated,8/1/2021,8/11/2021,572,55.76,31894.72,Delhi,Online,348,89.48,142.89,SAFE,YES
Gujarat,587.38,98,Medium,1/17/2020,4,Yogurt,Dodla Dairy,232.85,82.4,19186.84,24,Refrigerated,11/26/2019,12/20/2019,123,81.0,9963.0,West Bengal,Online,109,95.07,192.52,SAFE,NO
Chandigarh,152.0,79,Medium,8/10/2021,7,Lassi,Raj,520.48,40.69,21178.33,14,Refrigerated,6/15/2021,6/29/2021,230,45.34,10428.2,Madhya Pradesh,Online,290,33.57,40.3,SAFE,NO
Chandigarh,947.36,58,Medium,5/20/2019,6,Curd,Raj,79.36,70.96,5631.39,5,Refrigerated,4/2/2019,4/7/2019,20,69.12,1382.4,Kerala,Wholesale,59,95.02,71.66,IN DANGER,NO
Haryana,729.65,87,Large,5/19/2022,1,Milk,Amul,125.31,35.16,4405.9,28,Tetra Pack,4/6/2022,5/4/2022,115,33.08,3804.2,Jharkhand,Wholesale,10,68.79,143.09,IN DANGER,NO
Kerala,311.03,68,Small,3/21/2021,7,Lassi,Raj,386.63,70.41,27222.62,14,Refrigerated,2/26/2021,3/12/2021,217,75.2,16318.4,Rajasthan,Wholesale,169,25.66,44.34,SAFE,NO
Kerala,557.52,49,Small,1/28/2021,6,Curd,AMUL,85.73,15.04,1289.38,7,Refrigerated,12/27/2020,03-01-2021,74,19.8,1465.2,Uttar Pradesh,Retail,11,63.94,78.48,IN DANGER,NO
  Chandigarh  ,477.31,61,Small,12/21/2022,5,Ice Cream,Dodla Dairy,485.54,40.47,19649.8,24,Frozen,12/14/2022,1/7/2023,297,35.64,10585.08,Telangana,Wholesale,188,91.08,83.95,SAFE,YES
Madhya Pradesh,919.63,13,Medium,4/23/2019,2,Butter,Parag Milk Foods,497.43,81.02,40301.78,40,Refrigerated,3/1/2019,4/10/2019,175,76.45,13378.75,Uttar Pradesh,Retail,322,60.78,29.55,SAFE,NO
Telangana,43.65,21,Large,12/7/2019,6,Curd,Sudha,735.54,93.12,68493.48,5,Refrigerated,10/17/2019,10/22/2019,388,90.83,35242.04,Rajasthan,Retail,347,11.09,156.44,SAFE,NO
Jharkhand,245.89,94,Large,5/16/2020,3,Cheese,Amul,611.18,81.77,49976.19,55,Frozen,5/5/2020,2020/06/29,86,86.06,7401.16,Rajasthan,Wholesale,525,91.35,190.37,SAFE,YES
Kerala,482.75,74,Large,6/23/2020,9,Paneer,Mother Dairy,677.95,16.13,10935.33,12,Refrigerated,5/21/2020,02/06/2020,473,14.21,6721.33,Haryana,Online,204,43.2,32.12,SAFE,NO
Rajasthan,802.68,48,Small,1/18/2021,6,Curd,Raj,936.12,61.5,57571.38,6,,11/27/2020,12/3/2020,157,59.44,9332.08,Gujarat,Retail,779,65.92,153.37,SAFE,NO
Haryana,474.83,68,Medium,11/19/2022,5,Ice Cream,Dodla Dairy,552.22,1508.8709019138018,39853.72,25,Frozen,10-11-2022,12/5/2022,546,67.39,36794.94,Delhi,Online,6,42.19,136.22,IN DANGER,YES
  Rajasthan  ,519.91,26,Medium,6/28/2022,7,Lassi,Raj,828.56,60.13,49821.31,17,Refrigerated,6/16/2022,"July 03, 2022",477,63.42,30251.34,Tamil Nadu,Wholesale,351,64.11,64.56,SAFE,YES
Chandigarh,227.03,58,Medium,10/17/2020,1,Milk,mother dairy,474.75,17.25,8189.44,25,Tetra Pack,9/13/2020,10/8/2020,227,17.22,3908.94,Delhi,Online,247,23.33,191.3,SAFE,NO
Uttar Pradesh,940.06,37,Medium,10/19/2020,10,Ghee,Mother Dairy,393.46,65.37,25720.48,115,Ambient,9/23/2020,1/16/2021,4,69.37,277.48,Delhi,Wholesale,389,84.18,128.32,SAFE,YES
Chandigarh,960.88,90,Large,4/27/2021,7,Lassi,Mother Dairy,508.65,,47253.59,13,Refrigerated,3/23/2021,4/5/2021,456,89.34,40739.04,West Bengal,Wholesale,52,82.56,71.02,IN DANGER,NO
Bihar,887.07,78,Large,8/19/2021,7,Lassi,Raj,685.96,65.22,44738.31,13,Refrigerated,6/25/2021,7/8/2021,639,65.68,41969.52,Telangana,Online,46,52.73,172.32,IN DANGER,NO
Madhya Pradesh,829.54,46,Medium,5/6/2020,6,Curd,Amul,791.43,83.3,65926.12,7,Refrigerated,3/21/2020,3/28/2020,538,80.55,43335.9,Bihar,Wholesale,253,66.42,59.81,SAFE,NO
Bihar,56.34,52,Medium,5/26/2022,10,Ghee,Amul,895.66,94.77,84881.7,100,Ambient,5/5/2022,8/13/2022,408,97.51,39784.08,Kerala,Wholesale,487,51.07,77.36,SAFE,YES
Bihar,627.25,28,Small,12/11/2022,6,Curd,Raj,759.06,48.25,36624.65,7,Refrigerated,"October 27, 2022",11/3/2022,125,49.08,6135.0,Delhi,Retail,634,63.35,118.3,SAFE,NO
Delhi,598.18,47,Large,1/5/2020,6,Curd,,372.64,57.47,21415.62,6,Refrigerated,12/7/2019,12/13/2019,46,53.01,2438.46,Maharashtra,Wholesale,326,58.39,181.38,SAFE,NO
Jharkhand,463.98,63,Small,3/25/2019,8,Buttermilk,,950.47,84.15,79982.05,7,refrigerated,1/30/2019,2/6/2019,945,88.82,83934.9,Tamil Nadu,Retail,5,81.01,94.86,IN DANGER,NO
Delhi,27.86,78,Large,1/7/2019,7,Lassi,,844.86,72.85,61548.05,12,Refrigerated,1/4/2019,1/16/2019,501,68.68,34408.68,Madhya Pradesh,Retail,343,97.48,25.58,SAFE,YES
Uttar Pradesh,967.56,64,Small,2/9/2019,7,Lassi,Amul,386.56,44.37,17151.67,14,Refrigerated,12/20/2018,1/3/2019,137,45.36,6214.32,Rajasthan,Wholesale,249,44.46,75.54,SAFE,NO
Uttar Pradesh,722.43,12,Small,1/1/2022,8,Buttermilk,Amul ,152.66,37.89,5784.29,11,Refrigerated,11/2/2021,11/13/2021,6,34.52,207.12,Delhi,Wholesale,146,49.23,26.86,SAFE,NO
Tamil Nadu,67.95,73,Large,6/14/2019,7,Lassi,,344.29,62.25,21432.05,18,Refrigerated,4/22/2019,5/10/2019,3,66.53,199.59,Maharashtra,Online,341,39.6,171.96,SAFE,NO
Gujarat,786.39,69,Medium,8/17/2021,4,Yogurt,Mother Dairy,664.07,80.49,53450.99,21,,8/9/2021,8/30/2021,224,79.08,17713.92,Haryana,Online,440,79.0,174.18,SAFE,YES
Telangana,380.68,93,Medium,9/2/2020,8,Buttermilk,Raj,656.71,30.12,19780.11,7,Refrigerated,7/5/2020,7/12/2020,480,30.26,14524.8,Chandigarh,Wholesale,176,51.75,145.81,SAFE,NO
Gujarat,41.71,74,Large,10/10/2019,3,Cheese,Dynamix Dairies,859.17,33.12,28455.71,28,Refrigerated,8/29/2019,9/26/2019,487,37.62,18320.94,Bihar,Online,372,67.26,66.62,SAFE,NO
Kerala,782.82,39,Small,2/16/2020,4,Yogurt,Amul,145.07,77.18,11196.5,29,frozen,1/22/2020,2/20/2020,84,80.76,6783.84,Kerala,Wholesale,61,78.16,103.77,IN DANGER,YES
Tamil Nadu,880.65,13,Small,4/1/2020,3,Cheese,Dynamix Dairies,339.9,30.57,10390.74,74,,2/5/2020,4/19/2020,224,33.09,7412.16,Jharkhand,Wholesale,115,49.64,118.39,SAFE,YES
Gujarat,631.78,36,Medium,6/28/2022,2,Butter,Mother dairy,495.39,23.29,11537.63,27,Frozen,6/10/2022,7/7/2022,65,23.62,1535.3,Rajasthan,Online,430,57.18,115.59,SAFE,YES
West Bengal,724.85,61,Small,7/15/2020,6,Curd,Mother Dairy,186.26,18.01,3354.54,7,Refrigerated,6/10/2020,6/17/2020,52,14.94,776.88,Telangana,Retail,134,15.37,62.23,SAFE,NO
Maharashtra,845.35,52,Small,1/24/2020,6,Curd,Amul,643.43,86.32,55540.88,5,Refrigerated,12/31/2019,1/5/2020,437,87.95,38434.15,Chandigarh,Online,206,25.88,67.38,SAFE,NO
Karnataka,350.87,11,Medium,6/6/2022,3,Cheese,Britannia Industries,432.39,29.68,12833.34,73,Refrigerated,5/3/2022,7/15/2022,157,29.95,4702.15,Telangana,Wholesale,275,87.36,34.86,SAFE,YES
Chandigarh,956.62,100,Medium,11/16/2019,1,Milk,Raj,760.19,82.01,62343.18,22,Tetra Pack,10/20/2019,11/11/2019,710,80.72,57311.2,Chandigarh,Wholesale,50,31.44,94.86,SAFE,NO
Rajasthan,439.03,44,Small,10/17/2019,6,Curd,Amul,432.3,17.02,7357.75,7,REFRIGERATED,9/13/2019,2019/09/20,403,16.33,6580.99,Haryana,Wholesale,29,84.19,172.21,IN DANGER,NO
Jharkhand,635.72,85,Large,5/6/2019,3,Cheese,Britannia Industries,89.44,25.37,2269.09,29,frozen,4/27/2019,5/26/2019,79,24.31,1920.49,Bihar,Wholesale,10,96.18,20.12,IN DANGER,YES
  Chandigarh  ,451.45,73,Medium,5/21/2020,5,Ice Cream,Dodla Dairy,442.01,50.38,22268.46,21,Frozen,3/26/2020,4/16/2020,435,54.26,23603.1,Uttar Pradesh,Retail,7,20.32,84.27,IN DANGER,NO
Haryana,791.04,15,Medium,7/16/2020,4,Yogurt,Dodla Dairy,668.32,88.11,58885.68,21,Refrigerated,6/20/2020,7/11/2020,105,89.29,9375.45,Madhya Pradesh,Online,563,41.99,73.73,SAFE,NO
Karnataka,419.37,38,Medium,2/25/2020,3,Cheese,Dynamix Dairies,166.24,22.53,3745.39,37,Frozen,1/24/2020,01-03-2020,62,20.59,1276.58,Delhi,Retail,104,60.58,197.18,SAFE,YES
Karnataka,790.82,73,Small,1/2/2019,6,Curd,Raj,884.74,89.7,79361.18,5,Refrigerated,11/9/2018,11/14/2018,107,86.63,9269.41,Madhya Pradesh,Retail,777,45.72,128.46,SAFE,NO
Bihar,907.86,23,Large,9/27/2022,7,Lassi,Amul,219.7,27.55,6052.74,13,Refridgerated,9/6/2022,9/19/2022,67,29.34,1965.78,Karnataka,Online,152,95.05,110.15,SAFE,NO
Karnataka,386.51,82,Medium,11/5/2020,6,Curd,Mother Dairy,544.97,15.37,8376.19,6,Refrigerated,9/16/2020,9/22/2020,509,11.51,5858.59,Gujarat,Retail,35,76.37,106.13,IN DANGER,NO
Karnataka,597.71,36,Large,12/27/2021,3,Cheese,Britannia Industries,493.42,84.83,41856.82,45,Refridgerated,10/30/2021,12/14/2021,330,82.77,27314.1,Haryana,Online,163,39.86,92.29,SAFE,NO
Delhi,402.15,86,Large,3/9/2021,4,Yogurt,Dodla Dairy,433.13,61.44,26611.51,30,Frozen,1/16/2021,2/15/2021,413,59.56,24598.28,Delhi,Wholesale,20,83.76,30.38,IN DANGER,NO
Tamil Nadu,683.51,39,Medium,9/21/2021,10,Ghee,AMUL,792.04,53.22,42152.37,63,Ambient,8/14/2021,10/16/2021,423,54.15,22905.45,Jharkhand,Retail,369,21.84,146.23,SAFE,YES
Maharashtra,831.6,54,Medium,12/5/2021,6,Curd,Amul,228.65,58.93,13474.34,6,Refrigerated,11/8/2021,"November 14, 2021",224,54.54,12216.96,Jharkhand,Retail,4,40.6,35.96,IN DANGER,NO
Tamil Nadu,713.4,33,Medium,9/6/2020,7,Lassi, amul,448.15,27.75,12436.16,14,Refrigerator,7/17/2020,7/31/2020,348,27.34,9514.32,Tamil Nadu,Retail,100,75.04,110.45,SAFE,NO
Gujarat,833.13,29,Large,4/21/2019,7,Lassi,Raj,741.27,87.54,64890.78,12,Refrigerated,4/1/2019,4/13/2019,49,85.17,4173.33,Delhi,Wholesale,692,61.27,43.16,SAFE,NO
Telangana,877.8,30,Medium,8/2/2019,5,Ice Cream,Dodla Dairy,758.84,81.07,61519.16,29,Frozen,7/17/2019,8/15/2019,654,79.92,52267.68,Bihar,Retail,104,13.09,45.74,SAFE,YES
Bihar,297.02,52,Large,7/5/2019,4,Yogurt,Palle2patnam,973.05,2065.629002481414,96137.34,22,Refrigerator,5/13/2019,6/4/2019,592,100.68,59602.56,Karnataka,Wholesale,381,76.99,56.7,SAFE,NO
Tamil Nadu,912.71,88,Small,3/4/2020,5,Ice Cream,Amul,987.59,32.56,32155.93,30,,2/26/2020,3/27/2020,795,31.61,25129.95,Gujarat,Wholesale,192,38.28,92.47,SAFE,YES
